feature,OR
R_delta/alpha_mean_O,1.116852741409819
R_delta/alpha_std_F,0.9415751943184331
R_delta/alpha_std_C,1.018161810111923
R_delta/alpha_std_O,1.130779482967556
R_theta/alpha_max_F,1.0581871444426938
R_theta/alpha_max_C,1.0234829231451241
R_theta/alpha_max_O,1.0955131041461486
R_theta/alpha_min_F,1.0465515278549773
R_theta/alpha_min_C,1.0136975766295686
R_theta/alpha_min_O,1.0705428363146545
R_theta/alpha_mean_F,1.086877350651914
R_theta/alpha_mean_C,1.0552817028835628
R_theta/alpha_mean_O,1.0995224506412964
R_theta/alpha_std_F,1.0331069631677272
R_theta/alpha_std_C,0.993731973227236
R_theta/alpha_std_O,1.0893353074966066
CHIRP_C3,1.4496850651948696
COUPL_ANGLE_C3,0.6620252343619578
COUPL_MAG_C3,0.8661890551369498
COUPL_OVERLAP_C3,0.4910200717852118
COUPL_PV_C3,1.4437491741818815
DENS_C3,0.5104684361872183
DISPERSION_C3,1.0380817462208387
DISPERSION_P_C3,1.223524114717556
DUR_C3,1.1166870241890472
FFT_C3,1.0142143482171346
FRQ_C3,1.020256437503699
FWHM_C3,0.6189335992051398
ISA_M_C3,0.5854253087011282
ISA_S_C3,1.0934335901447
ISA_T_C3,0.6279446837669832
MINS_C3,0.9877407201058246
N_C3,0.5153540372718587
N01_C3,0.5959363354365856
N02_C3,0.5712380022284654
NE_C3,0.9877407201058246
NOSC_C3,1.1182481885934397
Q_C3,0.5595893554895992
SYMM_C3,0.8477572342298498
SYMM2_C3,1.2556318494934473
SO_C3,0.7675335760352036
SO_AMP_C3,1.0372775355556094
SO_DUR_C3,1.3585280364466994
SO_NEG_DUR_C3,1.4084126108976955
SO_P2P_C3,0.9614351685420821
SO_POS_DUR_C3,1.1727527987662574
SO_RATE_C3,0.6732689741729306
SO_SLOPE_NEG1_C3,1.1367898533996241
SO_SLOPE_NEG2_C3,0.8308713634223729
SO_SLOPE_POS1_C3,0.9958038769867871
SO_SLOPE_POS2_C3,1.0946040817157314
SO_TH_NEG_C3,0.9792454143895406
SO_TH_P2P_C3,1.028596519743505
AMP_C4,1.038527487234515
CHIRP_C4,1.549057358673648
COUPL_ANGLE_C4,0.6200152914719754
COUPL_MAG_C4,1.1024603597219549
COUPL_OVERLAP_C4,0.5562050811383317
COUPL_PV_C4,1.300694633663842
DENS_C4,0.5290904146697956
DISPERSION_C4,1.0714110726129225
DISPERSION_P_C4,1.294345322845976
DUR_C4,1.0866003155840143
FFT_C4,1.0261088668244664
FRQ_C4,0.9767717448452854
FWHM_C4,0.6046610759469083
ISA_M_C4,0.6562054580176699
ISA_S_C4,1.0646635515450906
ISA_T_C4,0.6969525214406176
MINS_C4,0.9924953077731575
N_C4,0.5396734989605306
N01_C4,0.6207257602724743
N02_C4,0.5922722407719169
NE_C4,0.9924953077731575
NOSC_C4,1.0853564716436195
Q_C4,0.6123990455814368
SYMM_C4,0.8748979608048537
SYMM2_C4,1.1991563085408787
SO_C4,0.7793930205735835
SO_AMP_C4,1.01125594693504
SO_DUR_C4,1.2977243788211925
SO_NEG_DUR_C4,1.2739880612726904
SO_P2P_C4,0.9991991874991729
SO_POS_DUR_C4,1.200015896090694
SO_RATE_C4,0.6988682900597908
SO_SLOPE_NEG1_C4,1.0273662921335467
SO_SLOPE_NEG2_C4,0.9655413002888273
SO_SLOPE_POS1_C4,1.0035014764815684
SO_SLOPE_POS2_C4,1.006116771292948
SO_TH_NEG_C4,0.9695617223599639
SO_TH_P2P_C4,1.0237347082847523
AMP_F3,0.9656358876858347
